"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","150","Test XTZ SDK XTZ: sign reveal","","Wed Dec 31 08:52:59 UTC 2025","passed","Wed Dec 31 08:52:59 UTC 2025","","Test XTZ SDK","Test XTZ SDK XTZ: sign reveal",""
"","107","Test XTZ SDK XTZ: sign delegation","","Wed Dec 31 08:52:59 UTC 2025","passed","Wed Dec 31 08:52:59 UTC 2025","","Test XTZ SDK","Test XTZ SDK XTZ: sign delegation",""
"","104","Test XTZ SDK XTZ: sign undelegation","","Wed Dec 31 08:52:59 UTC 2025","passed","Wed Dec 31 08:52:59 UTC 2025","","Test XTZ SDK","Test XTZ SDK XTZ: sign undelegation",""
"","111","Test XTZ SDK XTZ: sign transaction","","Wed Dec 31 08:52:59 UTC 2025","passed","Wed Dec 31 08:52:59 UTC 2025","","Test XTZ SDK","Test XTZ SDK XTZ: sign transaction",""
"","147","Test XTZ SDK XTZ: get address 0","","Wed Dec 31 08:52:59 UTC 2025","passed","Wed Dec 31 08:52:59 UTC 2025","","Test XTZ SDK","Test XTZ SDK XTZ: get address 0",""
